marketplace,pid,url,title,option_text,tier,duration,delivery,price_rub,strong_signal,glitched,glitch_reason
ggsel,102304393,https://ggsel.net/catalog/product/102304393,Купить Runway AI Standard/Pro/MAX 1/12M Подписка |Обновление+г.арантия,Runway Pro 1 месяц,Pro,1m,own_account,3458.0,True,False,
ggsel,102304393,https://ggsel.net/catalog/product/102304393,Купить Runway AI Standard/Pro/MAX 1/12M Подписка |Обновление+г.арантия,Runway Pro 12 месяцев,Pro,12m,own_account,33224.0,True,False,
ggsel,102304393,https://ggsel.net/catalog/product/102304393,Купить Runway AI Standard/Pro/MAX 1/12M Подписка |Обновление+г.арантия,Runway MAX 1 месяц,Max,1m,own_account,9391.0,True,False,
ggsel,102304393,https://ggsel.net/catalog/product/102304393,Купить Runway AI Standard/Pro/MAX 1/12M Подписка |Обновление+г.арантия,Runway MAX 12 месяцев,Max,12m,own_account,90184.0,True,False,
ggsel,5150918,https://ggsel.net/catalog/product/5150918,Купить KLING AI ПОДПИСКА – STANDARD/PRO/PREMIER/ULTRA НА 1 МЕСЯЦ,Pro,Pro,1m,unknown,2770.0,True,False,
ggsel,5150918,https://ggsel.net/catalog/product/5150918,Купить KLING AI ПОДПИСКА – STANDARD/PRO/PREMIER/ULTRA НА 1 МЕСЯЦ,Pro (Продление)(+3460.0 RUB),Pro,1m,own_account,7340.0,True,False,
ggsel,5150918,https://ggsel.net/catalog/product/5150918,Купить KLING AI ПОДПИСКА – STANDARD/PRO/PREMIER/ULTRA НА 1 МЕСЯЦ,Pro (+300 бонусных кредитов)(+3000.0 RUB),Pro,1m,unknown,37540.0,True,False,
ggsel,101942096,https://ggsel.net/catalog/product/101942096,"Купить Kling AI Plan/Credits 1-12M | FAST, FULL WARRANTY",KlingAI Pro (3000 Credits) - 1 Месяц (Требуется вход),Pro,1m,own_account,4599.0,True,False,
ggsel,101942096,https://ggsel.net/catalog/product/101942096,"Купить Kling AI Plan/Credits 1-12M | FAST, FULL WARRANTY","KlingAI Pro (3000 Credits) - 1 Месяц (Без входа, Подарок)",Pro,1m,own_account,5399.0,True,False,
ggsel,101942096,https://ggsel.net/catalog/product/101942096,"Купить Kling AI Plan/Credits 1-12M | FAST, FULL WARRANTY",KlingAI Pro (3000 Credits) - 1 Год (Требуется вход),Pro,12m,own_account,35999.0,True,False,
ggsel,101942096,https://ggsel.net/catalog/product/101942096,"Купить Kling AI Plan/Credits 1-12M | FAST, FULL WARRANTY","KlingAI Pro (3000 Credits) - 1 Год (Без входа, Подарок)",Pro,12m,own_account,36799.0,True,False,
ggsel,101942096,https://ggsel.net/catalog/product/101942096,"Купить Kling AI Plan/Credits 1-12M | FAST, FULL WARRANTY",KlingAI Pro (3000 Credits) Аккаунт - 1 Месяц (На случайную почту),Pro,1m,new_account,4600.0,True,False,
